2023.10.12 08:33:50: Added Thomas Anderson Teacher
2023.10.12 08:33:50: Added Han Solo Teacher
2023.10.12 08:33:50: Added Princess Leia Teacher
2023.10.12 08:33:50: Added Severus Snape Teacher
2023.10.12 08:33:50: Added Dolores Umbridge Teacher
2023.10.12 08:33:50: Added Peter Pan Student to class class 1A, profile humane
2023.10.12 08:33:50: Added Anna Shirley Student to class class 1A, profile humane
2023.10.12 08:33:50: Added Harry Potter Student to class class 1A, profile humane
2023.10.12 08:33:50: Added Ron Weasley Student to class class 1A, profile humane
2023.10.12 08:33:50: Added term of subject Math on MONDAY at 10:30, 45 min to subject Math
2023.10.12 08:33:50: Added term of subject Math on THURSDAY at 12:50, 45 min to subject Math
2023.10.12 08:33:50: Added subject Math to class 1A, profile humane
2023.10.12 08:33:50: Added term of subject English on MONDAY at 12:00, 45 min to subject English
2023.10.12 08:33:50: Added term of subject English on TUESDAY at 11:00, 45 min to subject English
2023.10.12 08:33:50: Added term of subject English on WEDNESDAY at 10:30, 45 min to subject English
2023.10.12 08:33:50: Added term of subject English on THURSDAY at 11:00, 45 min to subject English
2023.10.12 08:33:50: Added subject English to class 1A, profile humane
2023.10.12 08:33:50: Added term of subject Computer Science on TUESDAY at 09:00, 45 min to subject Computer Science
2023.10.12 08:33:50: Added subject Computer Science to class 1A, profile humane
2023.10.12 08:33:50: Added term of subject Chemistry on WEDNESDAY at 11:30, 45 min to subject Chemistry
2023.10.12 08:33:50: Added subject Chemistry to class 1A, profile humane
2023.10.12 08:33:50: Added term of subject Potions on FRIDAY at 09:00, 90 min to subject Potions
2023.10.12 08:33:50: Added subject Potions to class 1A, profile humane
2023.10.12 08:33:50: Added term of subject Black Magic Defense on FRIDAY at 12:30, 90 min to subject Black Magic Defense
2023.10.12 08:33:50: Added subject Black Magic Defense to class 1A, profile humane
2023.10.12 08:33:50: Added class 1A, profile humane
2023.10.12 08:35:18: Added Thomas Anderson Teacher
2023.10.12 08:35:18: Added Han Solo Teacher
2023.10.12 08:35:18: Added Princess Leia Teacher
2023.10.12 08:35:18: Added Severus Snape Teacher
2023.10.12 08:35:18: Added Dolores Umbridge Teacher
2023.10.12 08:35:18: Added Peter Pan Student to class class 1A, profile humane
2023.10.12 08:35:18: Added Anna Shirley Student to class class 1A, profile humane
2023.10.12 08:35:18: Added Harry Potter Student to class class 1A, profile humane
2023.10.12 08:35:18: Added Ron Weasley Student to class class 1A, profile humane
2023.10.12 08:35:18: Added term of subject Math on MONDAY at 10:30, 45 min to subject Math
2023.10.12 08:35:18: Added term of subject Math on THURSDAY at 12:50, 45 min to subject Math
2023.10.12 08:35:18: Added subject Math to class 1A, profile humane
2023.10.12 08:35:18: Added term of subject English on MONDAY at 12:00, 45 min to subject English
2023.10.12 08:35:18: Added term of subject English on TUESDAY at 11:00, 45 min to subject English
2023.10.12 08:35:18: Added term of subject English on WEDNESDAY at 10:30, 45 min to subject English
2023.10.12 08:35:18: Added term of subject English on THURSDAY at 11:00, 45 min to subject English
2023.10.12 08:35:18: Added subject English to class 1A, profile humane
2023.10.12 08:35:18: Added term of subject Computer Science on TUESDAY at 09:00, 45 min to subject Computer Science
2023.10.12 08:35:18: Added subject Computer Science to class 1A, profile humane
2023.10.12 08:35:18: Added term of subject Chemistry on WEDNESDAY at 11:30, 45 min to subject Chemistry
2023.10.12 08:35:18: Added subject Chemistry to class 1A, profile humane
2023.10.12 08:35:18: Added term of subject Potions on FRIDAY at 09:00, 90 min to subject Potions
2023.10.12 08:35:18: Added subject Potions to class 1A, profile humane
2023.10.12 08:35:18: Added term of subject Black Magic Defense on FRIDAY at 12:30, 90 min to subject Black Magic Defense
2023.10.12 08:35:18: Added subject Black Magic Defense to class 1A, profile humane
2023.10.12 08:35:18: Added class 1A, profile humane
2023.10.12 09:05:50: Added Peter Pan Student to class class 1A, profile humane
2023.10.12 09:05:50: Added Anna Shirley Student to class class 1A, profile humane
2023.10.12 09:05:50: Added Harry Potter Student to class class 1A, profile humane
2023.10.12 09:05:50: Added Ron Weasley Student to class class 1A, profile humane
2023.10.12 09:05:50: Added term of subject Math on MONDAY at 10:30, 45 min to subject Math
2023.10.12 09:05:50: Added term of subject Math on THURSDAY at 12:50, 45 min to subject Math
2023.10.12 09:05:50: Added subject Math to class 1A, profile humane
2023.10.12 09:05:50: Added term of subject English on MONDAY at 12:00, 45 min to subject English
2023.10.12 09:05:50: Added term of subject English on TUESDAY at 11:00, 45 min to subject English
2023.10.12 09:05:50: Added term of subject English on WEDNESDAY at 10:30, 45 min to subject English
2023.10.12 09:05:50: Added term of subject English on THURSDAY at 11:00, 45 min to subject English
2023.10.12 09:05:50: Added subject English to class 1A, profile humane
2023.10.12 09:05:50: Added term of subject Computer Science on TUESDAY at 09:00, 45 min to subject Computer Science
2023.10.12 09:05:50: Added subject Computer Science to class 1A, profile humane
2023.10.12 09:05:50: Added term of subject Chemistry on WEDNESDAY at 11:30, 45 min to subject Chemistry
2023.10.12 09:05:50: Added subject Chemistry to class 1A, profile humane
2023.10.12 09:05:50: Added term of subject Potions on FRIDAY at 09:00, 90 min to subject Potions
2023.10.12 09:05:50: Added subject Potions to class 1A, profile humane
2023.10.12 09:05:50: Added term of subject Black Magic Defense on FRIDAY at 12:30, 90 min to subject Black Magic Defense
2023.10.12 09:05:50: Added subject Black Magic Defense to class 1A, profile humane
2023.10.12 09:05:50: Added class 1A, profile humane
